,index,URL,Root Domain,Keyword,searched,Inbound Links
0,0,https://online.citi.com/US/JRS/portal/template.do?ID=mortgage_fixed_rate_home_equity_loan,online.citi.com,-site:online.citi.com link:https://online.citi.com/US/JRS/portal/template.do?ID=mortgage_fixed_rate_home_equity_loan,1.0,0.0
1,1,https://online.citi.com/US/JRS/portal/template.do?ID=mortgage_home_mortgage,online.citi.com,-site:online.citi.com link:https://online.citi.com/US/JRS/portal/template.do?ID=mortgage_home_mortgage,1.0,0.0
2,2,https://www.bankofamerica.com/auto-loans/auto-loans-financing.go,bankofamerica.com,-site:bankofamerica.com link:https://www.bankofamerica.com/auto-loans/auto-loans-financing.go,1.0,264000.0
3,3,https://www.bankofamerica.com/home-loans/home-equity-loans/overview.go,bankofamerica.com,-site:bankofamerica.com link:https://www.bankofamerica.com/home-loans/home-equity-loans/overview.go,1.0,35400.0
4,4,https://www.bankofamerica.com/home-loans/home-equity/home-equity-line-of-credit-rates.go,bankofamerica.com,-site:bankofamerica.com link:https://www.bankofamerica.com/home-loans/home-equity/home-equity-line-of-credit-rates.go,1.0,35400.0
5,5,https://www.bankofamerica.com/home-loans/home-equity/home-equity-loan-payment-calculator.go,bankofamerica.com,-site:bankofamerica.com link:https://www.bankofamerica.com/home-loans/home-equity/home-equity-loan-payment-calculator.go,1.0,15700.0
6,6,https://www.bankofamerica.com/home-loans/home-equity/lock-in-fixed-rate.go,bankofamerica.com,-site:bankofamerica.com link:https://www.bankofamerica.com/home-loans/home-equity/lock-in-fixed-rate.go,1.0,6750.0
7,7,https://www.bankofamerica.com/home-loans/mortgage/closing-costs-calculator.go,bankofamerica.com,-site:bankofamerica.com link:https://www.bankofamerica.com/home-loans/mortgage/closing-costs-calculator.go,1.0,15900.0
8,8,https://www.bankofamerica.com/home-loans/mortgage/custom-mortgage-rates-today.go,bankofamerica.com,-site:bankofamerica.com link:https://www.bankofamerica.com/home-loans/mortgage/custom-mortgage-rates-today.go,1.0,11300.0
9,9,https://www.bankofamerica.com/home-loans/mortgage/mortgage-payment-calculator.go,bankofamerica.com,-site:bankofamerica.com link:https://www.bankofamerica.com/home-loans/mortgage/mortgage-payment-calculator.go,1.0,24100.0
10,10,https://www.bankofamerica.com/home-loans/mortgage/mortgage-rates.go,bankofamerica.com,-site:bankofamerica.com link:https://www.bankofamerica.com/home-loans/mortgage/mortgage-rates.go,1.0,65700.0
11,11,https://www.bankofamerica.com/home-loans/overview.go,bankofamerica.com,-site:bankofamerica.com link:https://www.bankofamerica.com/home-loans/overview.go,1.0,107000.0
12,12,https://www.bankofamerica.com/home-loans/refinance/overview.go,bankofamerica.com,-site:bankofamerica.com link:https://www.bankofamerica.com/home-loans/refinance/overview.go,1.0,20900.0
13,13,https://www.bankofamerica.com/home-loans/refinance/refinance-rates.go,bankofamerica.com,-site:bankofamerica.com link:https://www.bankofamerica.com/home-loans/refinance/refinance-rates.go,1.0,26700.0
14,14,https://www.bankofamerica.com/smallbusiness/business-financing/working-capital/business-line-of-credit.go,bankofamerica.com,-site:bankofamerica.com link:https://www.bankofamerica.com/smallbusiness/business-financing/working-capital/business-line-of-credit.go,1.0,19500.0
15,15,https://www.citizensbank.com/home-equity/lines.aspx,citizensbank.com,-site:citizensbank.com link:https://www.citizensbank.com/home-equity/lines.aspx,1.0,735.0
16,16,https://www.citizensbank.com/home-equity/loans.aspx,citizensbank.com,-site:citizensbank.com link:https://www.citizensbank.com/home-equity/loans.aspx,1.0,993.0
17,17,https://www.citizensbank.com/personal-loans/overview.aspx,citizensbank.com,-site:citizensbank.com link:https://www.citizensbank.com/personal-loans/overview.aspx,1.0,1100.0
18,18,https://www.wellsfargo.com/auto-loans/,wellsfargo.com,-site:wellsfargo.com link:https://www.wellsfargo.com/auto-loans/,1.0,104000.0
19,19,https://www.wellsfargo.com/equity/,wellsfargo.com,-site:wellsfargo.com link:https://www.wellsfargo.com/equity/,1.0,112000.0
20,20,https://www.wellsfargo.com/goals-credit/smarter-credit/consider-debt-consolidation/,wellsfargo.com,-site:wellsfargo.com link:https://www.wellsfargo.com/goals-credit/smarter-credit/consider-debt-consolidation/,1.0,3110.0
21,21,https://www.wellsfargo.com/mortgage/buying-a-house/,wellsfargo.com,-site:wellsfargo.com link:https://www.wellsfargo.com/mortgage/buying-a-house/,1.0,104000.0
22,22,https://www.wellsfargo.com/mortgage/loan-programs/home-equity-line-of-credit/,wellsfargo.com,-site:wellsfargo.com link:https://www.wellsfargo.com/mortgage/loan-programs/home-equity-line-of-credit/,1.0,25300.0
23,23,https://www.wellsfargo.com/mortgage/mortgage-refinance/,wellsfargo.com,-site:wellsfargo.com link:https://www.wellsfargo.com/mortgage/mortgage-refinance/,1.0,47500.0
24,24,https://www.wellsfargo.com/mortgage/rates/,wellsfargo.com,-site:wellsfargo.com link:https://www.wellsfargo.com/mortgage/rates/,1.0,126000.0
25,25,https://www.wellsfargo.com/mortgage/rates/calculator/,wellsfargo.com,-site:wellsfargo.com link:https://www.wellsfargo.com/mortgage/rates/calculator/,1.0,40100.0
26,26,https://www.wellsfargo.com/mortgage/rates/compare-loans/,wellsfargo.com,-site:wellsfargo.com link:https://www.wellsfargo.com/mortgage/rates/compare-loans/,1.0,42400.0
27,27,https://www.wellsfargo.com/personal-credit/,wellsfargo.com,-site:wellsfargo.com link:https://www.wellsfargo.com/personal-credit/,1.0,239000.0
28,28,https://www.wellsfargo.com/personal-credit/personal-line-of-credit/,wellsfargo.com,-site:wellsfargo.com link:https://www.wellsfargo.com/personal-credit/personal-line-of-credit/,1.0,73400.0
29,29,https://www.wellsfargo.com/personal-credit/personal-loan/,wellsfargo.com,-site:wellsfargo.com link:https://www.wellsfargo.com/personal-credit/personal-loan/,1.0,76600.0
30,30,https://www.wellsfargo.com/personal-credit/rate-and-payment-calculator/,wellsfargo.com,-site:wellsfargo.com link:https://www.wellsfargo.com/personal-credit/rate-and-payment-calculator/,1.0,23100.0
31,31,https://online.citi.com/US/JRS/pands/detail.do?ID=PersonalLinesAag,online.citi.com,-site:online.citi.com link:https://online.citi.com/US/JRS/pands/detail.do?ID=PersonalLinesAag,1.0,0.0
32,32,https://www.bankofamerica.com/auto-loans/,bankofamerica.com,-site:bankofamerica.com link:https://www.bankofamerica.com/auto-loans/,1.0,324000.0
33,33,https://www.bankofamerica.com/credit-cards/education/credit-card-cash-advance-fees.go,bankofamerica.com,-site:bankofamerica.com link:https://www.bankofamerica.com/credit-cards/education/credit-card-cash-advance-fees.go,1.0,9510.0
34,34,https://www.bankofamerica.com/home-loans/home-equity/evaluating-home-equity.go,bankofamerica.com,-site:bankofamerica.com link:https://www.bankofamerica.com/home-loans/home-equity/evaluating-home-equity.go,1.0,17200.0
35,35,https://www.bankofamerica.com/home-loans/mortgage/adjustable-rate-mortgage-loans.go,bankofamerica.com,-site:bankofamerica.com link:https://www.bankofamerica.com/home-loans/mortgage/adjustable-rate-mortgage-loans.go,1.0,12900.0
36,36,https://www.bankofamerica.com/home-loans/mortgage/fixed-rate-mortgage-loans.go,bankofamerica.com,-site:bankofamerica.com link:https://www.bankofamerica.com/home-loans/mortgage/fixed-rate-mortgage-loans.go,1.0,31800.0
37,37,https://www.bankofamerica.com/home-loans/mortgage/jumbo-loans.go,bankofamerica.com,-site:bankofamerica.com link:https://www.bankofamerica.com/home-loans/mortgage/jumbo-loans.go,1.0,9840.0
38,38,https://www.bankofamerica.com/home-loans/mortgage/overview.go,bankofamerica.com,-site:bankofamerica.com link:https://www.bankofamerica.com/home-loans/mortgage/overview.go,1.0,114000.0
